# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2565,-11.5708,1.7734,1.7734
-1.2565,-11.6208,1.7923,1.7923
-1.2565,-11.6708,1.8125,1.8125
-1.2065,-11.7208,1.7889,1.7889
-1.2065,-11.7708,1.8118,1.8118
-1.1565,-11.8208,1.7923,1.7923
-1.1565,-11.8708,1.8180,1.8180
-1.1065,-11.9208,1.8028,1.8028
-1.1065,-11.9708,1.8310,1.8310
-1.1065,-12.0208,1.8118,1.8118
-1.0565,-12.0708,1.8337,1.8337
-1.0065,-12.1208,1.8310,1.8310
-1.0065,-12.1708,1.8337,1.8337
-0.9565,-12.2208,1.8446,1.8446
-0.9565,-12.2708,1.8310,1.8310
-0.9065,-12.3208,1.8337,1.8337
-0.8565,-12.3708,1.8069,1.8069
-0.8065,-12.4208,1.7678,1.7678
-0.7565,-12.4708,1.7263,1.7263
-0.7065,-12.5208,1.6867,1.6867
-0.6565,-12.5708,1.6492,1.6492
-0.6065,-12.5708,1.6568,1.6568
-0.5565,-12.6208,1.6125,1.6125
-0.5065,-12.6708,1.5700,1.5700
-0.4565,-12.6708,1.5788,1.5788
-0.4065,-12.7208,1.5403,1.5403
-0.3565,-12.7208,1.5500,1.5500
-0.3065,-12.7708,1.5000,1.5000
-0.2565,-12.8208,1.4500,1.4500
-0.2065,-12.8208,1.4500,1.4500
-0.1565,-12.8708,1.4000,1.4000
-0.1065,-12.8708,1.4000,1.4000
-0.0565,-12.8708,1.4000,1.4000
-0.0065,-12.9208,1.3500,1.3500
0.0435,-12.9208,1.3500,1.3500
0.0935,-12.9208,1.3500,1.3500
0.1435,-12.9208,1.3500,1.3500
0.1935,-12.9708,1.3010,1.3010
0.2435,-12.9708,1.3038,1.3038
0.2935,-13.0208,1.2590,1.2590
0.3435,-13.0208,1.2659,1.2659
0.3935,-13.0208,1.2748,1.2748
0.4435,-13.0208,1.2855,1.2855
0.4935,-13.0708,1.2500,1.2500
0.5435,-13.0708,1.2649,1.2649
0.5935,-13.0708,1.2816,1.2816
0.6435,-13.0708,1.3000,1.3000
0.6935,-13.0708,1.3200,1.3200
0.7435,-13.0708,1.3416,1.3416
0.7935,-13.1208,1.3200,1.3200
0.8435,-13.1208,1.3416,1.3416
0.8935,-13.1208,1.3647,1.3647
0.9435,-13.1208,1.3865,1.3865
0.9935,-13.1208,1.4089,1.4089
1.0435,-13.1208,1.4230,1.4230
1.0935,-13.1208,1.4080,1.4080
1.1435,-13.1208,1.3865,1.3865
1.1935,-13.1708,1.4116,1.4116
1.2435,-13.1708,1.3928,1.3928
1.2935,-13.1708,1.3757,1.3757
1.3435,-13.2208,1.4080,1.4080
1.3935,-13.2708,1.4431,1.4431
