# x_m,y_m,w_tr_right_m,w_tr_left_m
5.5435,-23.2708,1.0662,1.0662
5.5935,-23.2708,1.0927,1.0927
5.6435,-23.2708,1.0927,1.0927
5.6935,-23.2708,1.0662,1.0662
5.7435,-23.2208,1.0853,1.0853
5.7935,-23.1708,1.1083,1.1083
5.8435,-23.1208,1.1298,1.1298
5.8935,-23.1208,1.1083,1.1083
5.9435,-23.0708,1.1349,1.1349
5.9935,-23.0208,1.1500,1.1500
5.9935,-22.9708,1.1500,1.1500
6.0435,-22.9208,1.1619,1.1619
6.0435,-22.8708,1.1349,1.1349
6.0935,-22.8208,1.1530,1.1530
6.0935,-22.7708,1.1298,1.1298
6.0935,-22.7208,1.1083,1.1083
6.1435,-22.6708,1.1349,1.1349
6.1435,-22.6208,1.1176,1.1176
6.1435,-22.5708,1.1021,1.1021
6.1935,-22.5208,1.1369,1.1369
6.1935,-22.4708,1.1258,1.1258
6.1935,-22.4208,1.1166,1.1166
6.2435,-22.3708,1.1590,1.1590
6.2435,-22.3208,1.1540,1.1540
6.2435,-22.2708,1.1510,1.1510
6.2935,-22.2208,1.2000,1.2000
6.2935,-22.1708,1.2000,1.2000
6.2935,-22.1208,1.2000,1.2000
6.2935,-22.0708,1.2000,1.2000
6.3435,-22.0208,1.2500,1.2500
6.3435,-21.9708,1.2500,1.2500
6.3435,-21.9208,1.2500,1.2500
6.3435,-21.8708,1.2509,1.2509
6.3935,-21.8208,1.3036,1.3036
6.3935,-21.7708,1.3080,1.3080
6.3935,-21.7208,1.3142,1.3142
6.4435,-21.6708,1.3714,1.3714
6.4435,-21.6208,1.3807,1.3807
6.4435,-21.5708,1.3916,1.3916
6.4435,-21.5208,1.4042,1.4042
6.4435,-21.4708,1.4133,1.4133
6.4935,-21.4208,1.4700,1.4700
6.4935,-21.3708,1.4788,1.4788
6.4935,-21.3208,1.4890,1.4890
6.4935,-21.2708,1.5008,1.5008
6.4935,-21.2208,1.5140,1.5140
6.5435,-21.1708,1.5763,1.5763
6.5435,-21.1208,1.5867,1.5867
6.5435,-21.0708,1.5978,1.5978
6.5435,-21.0208,1.6103,1.6103
6.5935,-20.9708,1.6720,1.6720
6.5935,-20.9208,1.6847,1.6847
6.5935,-20.8708,1.6951,1.6951
6.5935,-20.8208,1.7069,1.7069
6.5935,-20.7708,1.7200,1.7200
6.5935,-20.7208,1.7337,1.7337
6.6435,-20.6708,1.7927,1.7927
6.6435,-20.6208,1.8039,1.8039
6.6435,-20.5708,1.8164,1.8164
6.6435,-20.5208,1.8164,1.8164
6.5935,-20.4708,1.7927,1.7927
6.5935,-20.4208,1.8039,1.8039
6.5935,-20.3708,1.8164,1.8164
6.5935,-20.3208,1.8164,1.8164
6.5935,-20.2708,1.8039,1.8039
6.5435,-20.2208,1.8138,1.8138
6.5435,-20.1708,1.8300,1.8300
6.5435,-20.1208,1.8164,1.8164
6.5435,-20.0708,1.8039,1.8039
6.5435,-20.0208,1.7927,1.7927
6.4935,-19.9708,1.8300,1.8300
6.4935,-19.9208,1.8164,1.8164
6.4935,-19.8708,1.8039,1.8039
6.4935,-19.8208,1.7927,1.7927
6.4435,-19.7708,1.8300,1.8300
6.4435,-19.7208,1.8164,1.8164
6.4435,-19.6708,1.8039,1.8039
6.4435,-19.6208,1.7927,1.7927
6.4435,-19.5708,1.7822,1.7822
6.3935,-19.5208,1.8164,1.8164
6.3935,-19.4708,1.8039,1.8039
6.3935,-19.4208,1.7927,1.7927
6.3935,-19.3708,1.7828,1.7828
6.3435,-19.3208,1.8235,1.8235
6.3435,-19.2708,1.8164,1.8164
6.3435,-19.2208,1.8039,1.8039
6.2935,-19.1708,1.8416,1.8416
6.2935,-19.1208,1.8320,1.8320
6.2935,-19.0708,1.8235,1.8235
